title,description,start_datetime,end_datetime,venue_name,venue_suburb,category,vibe,price_range,image_url,source_url,is_featured,is_curated_pick
✨The Unforgetaball ✨,"A night you'll remember, with MSA...",2026-05-28 19:00:00,2026-05-28 23:00:00,San Remo Ballroom,Carlton North,Community & Culture,groups,40.00 AUD - 67.21 AUD,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1182634842%2F230782431288%2F1%2Foriginal.20260421-025052?auto=format%2Ccompress&q=75&sharp=10&s=491a8392728e625cbe7c3bc75e8df8d1,https://www.eventbrite.com.au/e/the-unforgetaball-tickets-1987659348618,false,false
80s Silent Disco in Melbourne Museum - Saturday 23rd May 2026,"An 80s Silent Disco like no other is returning to Melbourne Museum, Saturday 23rd May 2026 ✨",2026-05-23 18:30:00,2026-05-24 00:30:00,Melbourne Museum,Carlton,Music,high-energy,61.57 AUD - 73.08 AUD,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1173069756%2F2870970819061%2F1%2Foriginal.20251216-170433?auto=format%2Ccompress&q=75&sharp=10&s=d160548870ad45dfce80ac140149c8aa,https://www.eventbrite.co.uk/e/80s-silent-disco-in-melbourne-museum-saturday-23rd-may-2026-tickets-1978159693895,false,false
"Intercell with BAUGRUPPE90, Mac Declos & Nene H",Intercell returns to Naarm/Melbourne for it's sixth edition,2026-06-07 15:00:00,2026-06-07 23:00:00,32 Chifley Dr,Preston,Music,high-energy,77.28 AUD - 99.67 AUD,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1183499143%2F2522426015411%2F1%2Foriginal.20260501-054756?auto=format%2Ccompress&q=75&sharp=10&s=635f278de69a53024d5b89773b0ba07d,https://www.eventbrite.com.au/e/intercell-with-baugruppe90-mac-declos-nene-h-tickets-1988609181594,false,false
Detox Your Home - Keilor Park,A free service to safely dispose of unwanted toxic household chemicals.,2026-05-30 09:00:00,2026-05-30 16:00:00,Brimbank Council Operations Centre (staff carpark),Keilor Park,Other,free-cheap,Free,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1181170098%2F220138175440%2F1%2Foriginal.20260401-055402?auto=format%2Ccompress&q=75&sharp=10&s=88d54c30a3ad68bac506e04a48560946,https://www.eventbrite.com.au/e/detox-your-home-keilor-park-registration-1981693352162,false,false
Back To The 2000's - Melbourne Launch,2 levels. 2 sounds. 1 night of Iconic Anthems from the 2000's,2026-05-30 19:30:00,2026-05-31 01:00:00,233 Lonsdale St,Melbourne,Music,high-energy,27.78 AUD - 79.93 AUD,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1184816800%2F2987894574914%2F1%2Foriginal.20260518-032418?auto=format%2Ccompress&q=75&sharp=10&s=05e91d4fc69da70b0f4f708f861788fd,https://www.eventbrite.com/e/back-to-the-2000s-melbourne-launch-tickets-1985687272084,false,false
Ace it!,ANMF’s final year student nursing and midwifery event,2026-05-22 09:00:00,2026-05-22 16:00:00,Carson Conference Centre,Melbourne,Health & Wellness,low-key,60.00 AUD - 190.00 AUD,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1184073868%2F219573267573%2F1%2Foriginal.20260507-232644?auto=format%2Ccompress&q=75&sharp=10&s=ab64f54355e26b73305ec8dcfb3afd6b,https://www.eventbrite.com/e/ace-it-registration-1981643086817,false,false
"Defying dementia: Innovations in diagnosis, treatment and care","Join researchers and clinicians to learn about the latest innovations in how we diagnose, treat and care for those with dementia.",2026-05-28 17:30:00,2026-05-28 19:00:00,"The Forum, Mezzanine Level, Melbourne Connect",Carlton,Health & Wellness,free-cheap,Free,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1183291246%2F279790001602%2F1%2Foriginal.20260429-015932?auto=format%2Ccompress&q=75&sharp=10&s=96f48b27d8beeece875ab7089c956435,https://www.eventbrite.com.au/e/defying-dementia-innovations-in-diagnosis-treatment-and-care-tickets-1987294556515,false,false
Decades Of Dance Presents Mark Pellegrini’s – 40 Years Behind The Decks,Decades Of Dance presents DJ Mark Pellegrini – 40 years behind the deck alongside special guests at the iconic Trak Centre.,2026-05-30 20:00:00,2026-06-01 02:00:00,Trak Lounge Bar,Toorak,Music,high-energy,17.19 AUD - 901.34 AUD,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1183613292%2F2663752785931%2F1%2Foriginal.20260502-225812?auto=format%2Ccompress&q=75&sharp=10&s=bd9d65bf235fee324e0a4904b69f84a2,https://www.eventbrite.com.au/e/decades-of-dance-presents-mark-pellegrinis-40-years-behind-the-decks-tickets-1984439834966,false,false
You are what you eat: that gut feeling,Explore the latest in gut science and how big data is unlocking insights into the microbiome’s role in health and disease.,2026-05-20 18:00:00,2026-05-20 19:30:00,Public Lecture Theatre (PLT)  - Old Arts Building  (149),Parkville,Science & Technology,free-cheap,Free,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1180518322%2F47113096179%2F1%2Foriginal.20260323-225004?auto=format%2Ccompress&q=75&sharp=10&s=0da79d0a601815e7927e4b3237547012,https://www.eventbrite.com.au/e/you-are-what-you-eat-that-gut-feeling-tickets-1983327074670,false,false
Climbing the AI Ladder,You don't need to master AI. You need to know what it means for you.,2026-05-28 15:00:00,2026-05-28 16:30:00,Queen Victoria Women's Centre,Melbourne,Science & Technology,free-cheap,Free,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1183499181%2F2998384170667%2F1%2Foriginal.20260501-054917?auto=format%2Ccompress&q=75&sharp=10&s=b842a29f8a27c7dd52f212166d6899c4,https://www.eventbrite.com.au/e/climbing-the-ai-ladder-tickets-1988539971585,false,false
"Blah Records presents Black Josh, Lee Scott & Sly Moon",Celebrating 20 Years of Blah Records,2026-06-07 19:00:00,2026-06-07 23:00:00,Stay Gold,Brunswick,Music,high-energy,40.78 AUD - 63.80 AUD,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1181060424%2F2075830685153%2F1%2Foriginal.20260331-025425?auto=format%2Ccompress&q=75&sharp=10&s=2978b89f137555f9c90799215fa242ec,https://www.eventbrite.com.au/e/blah-records-presents-black-josh-lee-scott-sly-moon-tickets-1986283890586,false,false
Victorian Government Architects: Celebrating 20 years of design impact,Victorian Government Architects reflect on two decades of championing the value of design in the public realm.,2026-05-21 18:00:00,2026-05-21 19:30:00,Clemenger BBDO Auditorium,Southbank,Government & Politics,free-cheap,Free,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1178983010%2F1423405596133%2F1%2Foriginal.20260304-060110?auto=format%2Ccompress&q=75&sharp=10&s=0982a981f9dd4b0bd3713e1439d2d960,https://www.eventbrite.com.au/e/victorian-government-architects-celebrating-20-years-of-design-impact-tickets-1984243452581,false,false
